NODE	Associated Genes (for complexes or related gene groups)	Optional
AKT	AKT1 AKT2 AKT3	
Apoptosis		
ATM		
B2R	BDKRB2	
BetaCatenin_Destruction_Complex	AXIN1 APC GSK3B CSNK1A1	
BetaCatenin_LEF1	CTNNB1 LEF1	
CD44		
CDC42		
CDKN1A		
CDKN2B		
Cell_Cycle		
Cell_Growth		yes
Cell_Volume		yes
CIC3		
CK2	CSNK2A1 CSNK2A2 CSNK2B	
CREB1		
CycD_CDK_4_6	CCND1	
Directed_Motility		yes
ECM_Stiffness		yes
EGFR		
EphB2	EPHB2	
ERK	MAPK1	
FAK_SRC	PTK2 SRC	
Fibronectin	FN1	
FZD_LRP_5_6_DSH	FZD1 LRP5 LRP6 DVL1	
GRB2_SOS	GRB2 SOS1	
GSK3B		
HIF	HIF1A	
IKK	CHUK IKBKB	
Integrins		yes
Intracellular_Ca		yes
JNK	MAPK8	
JUN		
KCa3_1	KCNN4	
MDM2		
MEK	MAP2K1 MAP2K2	
MMP	MMP2 MMP9	
MYC		
NET1		
NFKB	NFKB1	
NKCC1		
OLIG2		
P14ARF	CDKN2A	
PDGFR	PDGFRA PDGFRB	
PHD_1_2_3	EGLN2 EGLN1 EGLN3	
PI3K	PIK3CA PIK3CB PIK3CD PIK3CG	
PKC		
PTEN		
RAC1		
RAF	RAF1 BRAF	
RAS	KRAS	
RHOA		
SMAD_2_3_4	SMAD2 SMAD3 SMAD4	
SNAIL	SNAI1	
SOX2		
SRC		
STAT	STAT1 STAT3	
TGFB		
TGFBR_1_2	TGFBR1 TGFBR2	
TP53		
TWIST1		
WIP1		
WNK3		
ZEB1		
